職缺內容,公司名稱,地址,薪資,網址
Backend Engineer 後端工程師 (台灣工作),Tecpal Limited,香港特別行政區,"月薪80,000~120,000元",//www.104.com.tw/job/7ojo9?jobsource=hotjob_chr
Finance Project Specialist,台灣保樂力加股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7qu59?jobsource=jolist_d_date
電信網路人才(Cisco) -台北,擎昊科技股份有限公司,台北市內湖區,"月薪35,000~70,000元",//www.104.com.tw/job/7au4x?jobsource=jolist_d_date
Back-End Engineer 後端工程師,鼎羿科技有限公司,台北市內湖區,"月薪45,000~80,000元",//www.104.com.tw/job/6roxh?jobsource=jolist_d_date
資訊人員,杏全實業股份有限公司,新北市新店區,"月薪35,000~45,000元",//www.104.com.tw/job/7sv8q?jobsource=jolist_d_date
軟體工程師(中區-備汽車),杏全實業股份有限公司,台中市西區,"月薪32,000~45,000元",//www.104.com.tw/job/7q6e9?jobsource=jolist_d_date
MIS支援工程師,是方電訊股份有限公司(中華電信關係企業),台北市內湖區,"月薪35,000~40,000元",//www.104.com.tw/job/7rdwl?jobsource=jolist_d_date
兼職-數位發展行政助理,覓食國際餐飲企業有限公司,台北市中正區,時薪168~254元,//www.104.com.tw/job/7aus3?jobsource=jolist_d_date
嵌入式系統研發工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7bx75?jobsource=jolist_d_date
資訊駐點工程師(板橋區）,方恩科技有限公司,新北市板橋區,"月薪27,600~30,000元",//www.104.com.tw/job/7hk4k?jobsource=jolist_d_date
交易策略研究員,達比特科技有限公司,新北市中和區,"月薪55,000~75,000元",//www.104.com.tw/job/748u8?jobsource=jolist_d_date
資訊維護工程師(潭子區）,方恩科技有限公司,台中市潭子區,"月薪27,600~31,800元",//www.104.com.tw/job/7qise?jobsource=jolist_d_date
QA Engineer 軟體測試工程師 (歡迎新鮮人),鼎羿科技有限公司,台北市內湖區,"月薪30,000~45,000元",//www.104.com.tw/job/72lhl?jobsource=jolist_d_date
C# 工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51fln?jobsource=jolist_d_date
WordPress 工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6wuyq?jobsource=jolist_d_date
資訊設備倉庫管理及文書處理（新店）,方恩科技有限公司,新北市新店區,"月薪28,000~35,000元",//www.104.com.tw/job/7r552?jobsource=jolist_d_date
Front-End Engineer 前端工程師,鼎羿科技有限公司,台北市內湖區,"月薪40,000~80,000元",//www.104.com.tw/job/6roxg?jobsource=jolist_d_date
韌體工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51qft?jobsource=jolist_d_date
網頁前端工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6ufwa?jobsource=jolist_d_date
Web/App前後端設計工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7eh35?jobsource=jolist_d_date
Web Frontend Software Engineer 網頁前端軟體工程師,湛研科技股份有限公司,台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/7boky?jobsource=jolist_d_date
【Android 開發工程師】  Android Developer,智鈦星平台服務有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/72bhm?jobsource=hotjob_chr
★年後報到★ 資安工程師(仁德廠),奇美實業股份有限公司,台南市仁德區,待遇面議,//www.104.com.tw/job/7l286?jobsource=hotjob_chr
【台中】iOS App Developer / App軟體開發工程師(台中市政府旁),英屬維京群島商瑞嘉耐思科技有限公司台灣分公司,台中市西屯區,"月薪57,750元以上",//www.104.com.tw/job/6yqe6?jobsource=hotjob_chr
資訊設備專員,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7o0yy?jobsource=hotjob_chr
大流量社群平台資深網頁前端工程師 / Senior Web Engineer/Senior Frontend Engineer(React.js),宇泰華科技股份有限公司,台北市南港區,"年薪800,000~1,800,000元",//www.104.com.tw/job/7k7pi?jobsource=hotjob_chr
大流量社群平台資深後端工程師 /Senior Backend Engineer(Golang),宇泰華科技股份有限公司,台北市南港區,"年薪800,000~1,800,000元",//www.104.com.tw/job/5bdsg?jobsource=hotjob_chr
KH4104-半導體大數據AI工程師-湖口區光復廠,頎邦科技股份有限公司,新竹縣湖口鄉,待遇面議,//www.104.com.tw/job/7rtn3?jobsource=hotjob_chr
全端工程師 - Full Stack Developer,希格斯資訊科技有限公司,新北市新店區,"月薪42,000~100,000元",//www.104.com.tw/job/5w81m?jobsource=hotjob_chr
網管工程師,普藍地科技股份有限公司,台北市中正區,"月薪38,000元以上",//www.104.com.tw/job/6yu88?jobsource=hotjob_chr
Backend Engineer 後端工程師 (台灣工作),Tecpal Limited,香港特別行政區,"月薪80,000~120,000元",//www.104.com.tw/job/7ojo9?jobsource=hotjob_chr
Finance Project Specialist,台灣保樂力加股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7qu59?jobsource=jolist_d_date
電信網路人才(Cisco) -台北,擎昊科技股份有限公司,台北市內湖區,"月薪35,000~70,000元",//www.104.com.tw/job/7au4x?jobsource=jolist_d_date
Back-End Engineer 後端工程師,鼎羿科技有限公司,台北市內湖區,"月薪45,000~80,000元",//www.104.com.tw/job/6roxh?jobsource=jolist_d_date
資訊人員,杏全實業股份有限公司,新北市新店區,"月薪35,000~45,000元",//www.104.com.tw/job/7sv8q?jobsource=jolist_d_date
軟體工程師(中區-備汽車),杏全實業股份有限公司,台中市西區,"月薪32,000~45,000元",//www.104.com.tw/job/7q6e9?jobsource=jolist_d_date
MIS支援工程師,是方電訊股份有限公司(中華電信關係企業),台北市內湖區,"月薪35,000~40,000元",//www.104.com.tw/job/7rdwl?jobsource=jolist_d_date
兼職-數位發展行政助理,覓食國際餐飲企業有限公司,台北市中正區,時薪168~254元,//www.104.com.tw/job/7aus3?jobsource=jolist_d_date
嵌入式系統研發工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7bx75?jobsource=jolist_d_date
資訊駐點工程師(板橋區）,方恩科技有限公司,新北市板橋區,"月薪27,600~30,000元",//www.104.com.tw/job/7hk4k?jobsource=jolist_d_date
交易策略研究員,達比特科技有限公司,新北市中和區,"月薪55,000~75,000元",//www.104.com.tw/job/748u8?jobsource=jolist_d_date
資訊維護工程師(潭子區）,方恩科技有限公司,台中市潭子區,"月薪27,600~31,800元",//www.104.com.tw/job/7qise?jobsource=jolist_d_date
QA Engineer 軟體測試工程師 (歡迎新鮮人),鼎羿科技有限公司,台北市內湖區,"月薪30,000~45,000元",//www.104.com.tw/job/72lhl?jobsource=jolist_d_date
C# 工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51fln?jobsource=jolist_d_date
WordPress 工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6wuyq?jobsource=jolist_d_date
資訊設備倉庫管理及文書處理（新店）,方恩科技有限公司,新北市新店區,"月薪28,000~35,000元",//www.104.com.tw/job/7r552?jobsource=jolist_d_date
Front-End Engineer 前端工程師,鼎羿科技有限公司,台北市內湖區,"月薪40,000~80,000元",//www.104.com.tw/job/6roxg?jobsource=jolist_d_date
韌體工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51qft?jobsource=jolist_d_date
網頁前端工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6ufwa?jobsource=jolist_d_date
Web/App前後端設計工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7eh35?jobsource=jolist_d_date
Web Frontend Software Engineer 網頁前端軟體工程師,湛研科技股份有限公司,台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/7boky?jobsource=jolist_d_date
【Android 開發工程師】  Android Developer,智鈦星平台服務有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/72bhm?jobsource=hotjob_chr
★年後報到★ 資安工程師(仁德廠),奇美實業股份有限公司,台南市仁德區,待遇面議,//www.104.com.tw/job/7l286?jobsource=hotjob_chr
【台中】iOS App Developer / App軟體開發工程師(台中市政府旁),英屬維京群島商瑞嘉耐思科技有限公司台灣分公司,台中市西屯區,"月薪57,750元以上",//www.104.com.tw/job/6yqe6?jobsource=hotjob_chr
資訊設備專員,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7o0yy?jobsource=hotjob_chr
大流量社群平台資深網頁前端工程師 / Senior Web Engineer/Senior Frontend Engineer(React.js),宇泰華科技股份有限公司,台北市南港區,"年薪800,000~1,800,000元",//www.104.com.tw/job/7k7pi?jobsource=hotjob_chr
大流量社群平台資深後端工程師 /Senior Backend Engineer(Golang),宇泰華科技股份有限公司,台北市南港區,"年薪800,000~1,800,000元",//www.104.com.tw/job/5bdsg?jobsource=hotjob_chr
KH4104-半導體大數據AI工程師-湖口區光復廠,頎邦科技股份有限公司,新竹縣湖口鄉,待遇面議,//www.104.com.tw/job/7rtn3?jobsource=hotjob_chr
全端工程師 - Full Stack Developer,希格斯資訊科技有限公司,新北市新店區,"月薪42,000~100,000元",//www.104.com.tw/job/5w81m?jobsource=hotjob_chr
網管工程師,普藍地科技股份有限公司,台北市中正區,"月薪38,000元以上",//www.104.com.tw/job/6yu88?jobsource=hotjob_chr
Backend Engineer 後端工程師 (台灣工作),Tecpal Limited,香港特別行政區,"月薪80,000~120,000元",//www.104.com.tw/job/7ojo9?jobsource=hotjob_chr
Finance Project Specialist,台灣保樂力加股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7qu59?jobsource=jolist_d_date
電信網路人才(Cisco) -台北,擎昊科技股份有限公司,台北市內湖區,"月薪35,000~70,000元",//www.104.com.tw/job/7au4x?jobsource=jolist_d_date
Back-End Engineer 後端工程師,鼎羿科技有限公司,台北市內湖區,"月薪45,000~80,000元",//www.104.com.tw/job/6roxh?jobsource=jolist_d_date
資訊人員,杏全實業股份有限公司,新北市新店區,"月薪35,000~45,000元",//www.104.com.tw/job/7sv8q?jobsource=jolist_d_date
軟體工程師(中區-備汽車),杏全實業股份有限公司,台中市西區,"月薪32,000~45,000元",//www.104.com.tw/job/7q6e9?jobsource=jolist_d_date
MIS支援工程師,是方電訊股份有限公司(中華電信關係企業),台北市內湖區,"月薪35,000~40,000元",//www.104.com.tw/job/7rdwl?jobsource=jolist_d_date
兼職-數位發展行政助理,覓食國際餐飲企業有限公司,台北市中正區,時薪168~254元,//www.104.com.tw/job/7aus3?jobsource=jolist_d_date
嵌入式系統研發工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7bx75?jobsource=jolist_d_date
資訊駐點工程師(板橋區）,方恩科技有限公司,新北市板橋區,"月薪27,600~30,000元",//www.104.com.tw/job/7hk4k?jobsource=jolist_d_date
交易策略研究員,達比特科技有限公司,新北市中和區,"月薪55,000~75,000元",//www.104.com.tw/job/748u8?jobsource=jolist_d_date
資訊維護工程師(潭子區）,方恩科技有限公司,台中市潭子區,"月薪27,600~31,800元",//www.104.com.tw/job/7qise?jobsource=jolist_d_date
QA Engineer 軟體測試工程師 (歡迎新鮮人),鼎羿科技有限公司,台北市內湖區,"月薪30,000~45,000元",//www.104.com.tw/job/72lhl?jobsource=jolist_d_date
C# 工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51fln?jobsource=jolist_d_date
WordPress 工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6wuyq?jobsource=jolist_d_date
資訊設備倉庫管理及文書處理（新店）,方恩科技有限公司,新北市新店區,"月薪28,000~35,000元",//www.104.com.tw/job/7r552?jobsource=jolist_d_date
Front-End Engineer 前端工程師,鼎羿科技有限公司,台北市內湖區,"月薪40,000~80,000元",//www.104.com.tw/job/6roxg?jobsource=jolist_d_date
韌體工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51qft?jobsource=jolist_d_date
網頁前端工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6ufwa?jobsource=jolist_d_date
Web/App前後端設計工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7eh35?jobsource=jolist_d_date
Web Frontend Software Engineer 網頁前端軟體工程師,湛研科技股份有限公司,台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/7boky?jobsource=jolist_d_date
【Android 開發工程師】  Android Developer,智鈦星平台服務有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/72bhm?jobsource=hotjob_chr
★年後報到★ 資安工程師(仁德廠),奇美實業股份有限公司,台南市仁德區,待遇面議,//www.104.com.tw/job/7l286?jobsource=hotjob_chr
【台中】iOS App Developer / App軟體開發工程師(台中市政府旁),英屬維京群島商瑞嘉耐思科技有限公司台灣分公司,台中市西屯區,"月薪57,750元以上",//www.104.com.tw/job/6yqe6?jobsource=hotjob_chr
資訊設備專員,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7o0yy?jobsource=hotjob_chr
大流量社群平台資深網頁前端工程師 / Senior Web Engineer/Senior Frontend Engineer(React.js),宇泰華科技股份有限公司,台北市南港區,"年薪800,000~1,800,000元",//www.104.com.tw/job/7k7pi?jobsource=hotjob_chr
大流量社群平台資深後端工程師 /Senior Backend Engineer(Golang),宇泰華科技股份有限公司,台北市南港區,"年薪800,000~1,800,000元",//www.104.com.tw/job/5bdsg?jobsource=hotjob_chr
KH4104-半導體大數據AI工程師-湖口區光復廠,頎邦科技股份有限公司,新竹縣湖口鄉,待遇面議,//www.104.com.tw/job/7rtn3?jobsource=hotjob_chr
全端工程師 - Full Stack Developer,希格斯資訊科技有限公司,新北市新店區,"月薪42,000~100,000元",//www.104.com.tw/job/5w81m?jobsource=hotjob_chr
網管工程師,普藍地科技股份有限公司,台北市中正區,"月薪38,000元以上",//www.104.com.tw/job/6yu88?jobsource=hotjob_chr
Backend Engineer 後端工程師 (台灣工作),Tecpal Limited,香港特別行政區,"月薪80,000~120,000元",//www.104.com.tw/job/7ojo9?jobsource=hotjob_chr
Finance Project Specialist,台灣保樂力加股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7qu59?jobsource=jolist_d_date
電信網路人才(Cisco) -台北,擎昊科技股份有限公司,台北市內湖區,"月薪35,000~70,000元",//www.104.com.tw/job/7au4x?jobsource=jolist_d_date
Back-End Engineer 後端工程師,鼎羿科技有限公司,台北市內湖區,"月薪45,000~80,000元",//www.104.com.tw/job/6roxh?jobsource=jolist_d_date
資訊人員,杏全實業股份有限公司,新北市新店區,"月薪35,000~45,000元",//www.104.com.tw/job/7sv8q?jobsource=jolist_d_date
軟體工程師(中區-備汽車),杏全實業股份有限公司,台中市西區,"月薪32,000~45,000元",//www.104.com.tw/job/7q6e9?jobsource=jolist_d_date
MIS支援工程師,是方電訊股份有限公司(中華電信關係企業),台北市內湖區,"月薪35,000~40,000元",//www.104.com.tw/job/7rdwl?jobsource=jolist_d_date
兼職-數位發展行政助理,覓食國際餐飲企業有限公司,台北市中正區,時薪168~254元,//www.104.com.tw/job/7aus3?jobsource=jolist_d_date
嵌入式系統研發工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7bx75?jobsource=jolist_d_date
資訊駐點工程師(板橋區）,方恩科技有限公司,新北市板橋區,"月薪27,600~30,000元",//www.104.com.tw/job/7hk4k?jobsource=jolist_d_date
交易策略研究員,達比特科技有限公司,新北市中和區,"月薪55,000~75,000元",//www.104.com.tw/job/748u8?jobsource=jolist_d_date
資訊維護工程師(潭子區）,方恩科技有限公司,台中市潭子區,"月薪27,600~31,800元",//www.104.com.tw/job/7qise?jobsource=jolist_d_date
QA Engineer 軟體測試工程師 (歡迎新鮮人),鼎羿科技有限公司,台北市內湖區,"月薪30,000~45,000元",//www.104.com.tw/job/72lhl?jobsource=jolist_d_date
C# 工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51fln?jobsource=jolist_d_date
WordPress 工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6wuyq?jobsource=jolist_d_date
資訊設備倉庫管理及文書處理（新店）,方恩科技有限公司,新北市新店區,"月薪28,000~35,000元",//www.104.com.tw/job/7r552?jobsource=jolist_d_date
Front-End Engineer 前端工程師,鼎羿科技有限公司,台北市內湖區,"月薪40,000~80,000元",//www.104.com.tw/job/6roxg?jobsource=jolist_d_date
韌體工程師,三傑物聯科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/51qft?jobsource=jolist_d_date
網頁前端工程師,大禾商社股份有限公司,台南市東區,"月薪30,000~60,000元",//www.104.com.tw/job/6ufwa?jobsource=jolist_d_date
Web/App前後端設計工程師,皓博科技股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7eh35?jobsource=jolist_d_date
Web Frontend Software Engineer 網頁前端軟體工程師,湛研科技股份有限公司,台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/7boky?jobsource=jolist_d_date
